GMM_Cluster,yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting
0,0.8166666666666667,0.8833333333333333,0.1,0.8166666666666667,0.0,0.6666666666666666,0.18333333333333332,0.75,0.75,0.6833333333333333,0.08333333333333333
1,0.8070175438596491,1.0,0.08114035087719298,1.0,0.49122807017543857,0.9649122807017544,1.0,1.0,0.0,0.20614035087719298,0.08114035087719298
2,0.6585365853658537,0.7682926829268293,0.2682926829268293,0.9512195121951219,1.0,0.6463414634146342,0.35365853658536583,0.7926829268292683,0.7560975609756098,0.5609756097560976,0.3170731707317073
3,0.8428571428571429,0.9428571428571428,0.1357142857142857,0.0,0.07857142857142857,0.9285714285714286,0.7214285714285714,1.0,0.2,0.65,0.0
4,0.0,0.35833333333333334,0.06666666666666667,0.825,0.7166666666666667,0.4166666666666667,0.11666666666666667,0.0,0.7833333333333333,0.0,0.7333333333333333
5,0.0,0.8878048780487805,0.0,0.9170731707317074,0.5951219512195122,1.0,1.0,0.0,0.0,0.08292682926829269,0.43414634146341463
6,0.5487179487179488,1.0,0.11282051282051282,1.0,0.6153846153846154,1.0,0.13846153846153847,0.5897435897435898,0.7461538461538462,0.0,0.27692307692307694
