,yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting
Cluster 0,0.39215686274509803,0.8921568627450981,0.17647058823529413,0.803921568627451,0.6764705882352942,0.7352941176470589,0.0,0.803921568627451,1.0,0.30392156862745096,0.23529411764705882
Cluster 1,0.8831168831168831,1.0,0.2597402597402597,0.8441558441558441,0.8701298701298701,0.8051948051948052,0.9090909090909091,0.8961038961038961,0.2857142857142857,0.7272727272727273,0.23376623376623376
Cluster 2,0.025157232704402517,0.5849056603773585,0.06289308176100629,1.0,0.710691823899371,1.0,0.25157232704402516,0.018867924528301886,0.8427672955974843,0.006289308176100629,0.6918238993710691
Cluster 3,0.0,0.46875,0.0625,0.796875,0.6875,0.0,0.0,0.015625,0.8125,0.0,0.71875
Cluster 4,0.0,0.9745222929936306,0.06369426751592357,0.7834394904458599,0.0,1.0,0.8471337579617835,0.3885350318471338,0.0,0.12738853503184713,0.16560509554140126
Cluster 5,1.0,1.0,0.06995884773662552,1.0,0.5534979423868313,1.0,0.6234567901234568,0.934156378600823,0.33127572016460904,0.0,0.08436213991769548
Cluster 6,1.0,0.9512195121951219,0.0975609756097561,0.4682926829268293,0.0,0.8780487804878049,0.7268292682926829,1.0,0.23902439024390243,0.7853658536585366,0.0
Cluster 7,0.0,0.9556650246305419,0.09852216748768473,0.9753694581280788,1.0,0.9310344827586207,0.8620689655172413,0.30049261083743845,0.0,0.09852216748768473,0.43349753694581283
